"configuration","problem","model","data_file","status","time","failures","restarts","nSolutions","solveTime","optTime","variables","baseMem","processFlatZincTime","flatIntConstraints","peakMem","randomSeed","run","flatTime","method","peakDepth","propagations","flatIntVars","solutions","flatBoolVars","backjumps","initTime","trailMem","boolVariables","evaluatedReifiedConstraints","nogoods","flatBoolConstraints","objective","intVars","paths","propagators","nodes"
"chuffed","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","0.24915455700829625","54","54","54","0.058","0.058","6763","0.0","","56","0.0","1630368721","raw","0.063419","minimize","102","66329","55","","","261","0.008","0.12","6705","","54","","2","56","0","250","2854"
"gecode","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","13.993553557025734","17142","0","2864","13.0861","","131","","","132","","","raw","0.050649","minimize","93","1404819","131","2864","","","0.001281","","","","","","16","","0","132","96365"
"picat_sat","jsswet","jsswet.mzn","jsswet_la07.dzn","OPTIMAL_SOLUTION","108.32836411899189","","","8","107.98447869898519","","","","0.24996942000669986","1157","","","raw","0.093916","minimize","","","121","","1050","","","","","1050","","525","225","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_orb10.dzn","SATISFIED","600.0485645069857","8796985","0","541","599.943","","131","","","132","","","raw","0.052048","minimize","77","791948827","131","541","","","0.001232","","","","","","1413","","0","132","17607403"
"chuffed","jsswet","jsswet.mzn","jsswet_la03.dzn","OPTIMAL_SOLUTION","0.3524269370245747","322","8","6","0.144","0.143","101438","0.0","","77","0.0","1630368738","raw","0.048076","minimize","296","330031","81","","","11179","0.094","0.63","101354","","322","","101","82","0","544","12703"
"gecode","jsswet","jsswet.mzn","jsswet_swv14.dzn","UNKNOWN","600.058195975027","4362724","0","0","599.881","","651","","","612","","","raw","0.11475","minimize","248","786120538","651","0","","","0.004331","","","","","","","","0","612","8725675"
"chuffed","jsswet","jsswet.mzn","jsswet_orb07.dzn","OPTIMAL_SOLUTION","8.485642939049285","6291","778","750","8.231999","8.226","116145","0.0","","132","0.0","1630370688","raw","0.0575","minimize","485","13959558","131","","","15838","0.117","0.94","116011","","6291","","102","132","0","1054","148142"
"gecode","jsswet","jsswet.mzn","jsswet_la24.dzn","SATISFIED","600.0447912989766","12683681","0","929","599.935","","196","","","192","","","raw","0.059426","minimize","116","529337626","196","929","","","0.001595","","","","","","4184","","0","192","25393110"
"chuffed","jsswet","jsswet.mzn","jsswet_la04.dzn","OPTIMAL_SOLUTION","7.681547093030531","15332","644","587","7.457","6.947","100931","0.0","","77","0.0","1630368744","raw","0.052245","minimize","404","13963077","81","","","25291","0.099","0.63","100847","","15332","","205","82","0","544","107400"
"gecode","jsswet","jsswet.mzn","jsswet_abz5.dzn","OPTIMAL_SOLUTION","27.516363956034184","192504","0","4814","26.4821","","131","","","132","","","raw","0.062603","minimize","75","9665927","131","4814","","","0.001122","","","","","","103","","0","132","515254"
"gecode","jsswet","jsswet.mzn","jsswet_la23.dzn","SATISFIED","600.051822540001","7891982","0","63","599.934","","196","","","192","","","raw","0.060312","minimize","112","516345172","196","63","","","0.001722","","","","","","7205","","0","192","15785827"
"chuffed","jsswet","jsswet.mzn","jsswet_la22.dzn","SATISFIED","600.0474931209465","","","3188","","","","","","192","","","raw","0.06159","minimize","","","196","","","","","","","","","","843","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb09.dzn","OPTIMAL_SOLUTION","67.01752787601436","","","10","66.67364245600766","","","","0.25929742000669986","1022","","","raw","0.084588","minimize","","","131","","900","","","","","900","","450","0","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_abz9.dzn","SATISFIED","600.0430085320259","5973804","0","165","599.914","","361","","","357","","","raw","0.080179","minimize","200","276028367","361","165","","","0.002484","","","","","","2183","","0","357","11953501"
"picat_sat","jsswet","jsswet.mzn","jsswet_la34.dzn","SATISFIED","600.2034593189601","","","2","599.8595738989534","","","","-0.06420657999330015","9062","","","raw","0.408092","minimize","","","391","","8700","","","","","8700","","4350","25598","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb01.dzn","OPTIMAL_SOLUTION","99.49084756796947","","","8","99.14696214796277","","","","0.25133242000669986","1022","","","raw","0.092553","minimize","","","131","","900","","","","","900","","450","178","","0","",""
