"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz8.dzn","","60.38","raw","3"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz8.dzn","","60.79","raw","3"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","","0.93","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","","0.94","raw","0"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv06.dzn","","516.25","raw","211"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv06.dzn","","516.26","raw","211"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la36.dzn","","143.81","raw","0"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la36.dzn","","143.82","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la38.dzn","","85.68","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la38.dzn","","86.21","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_abz6.dzn","","29.16","raw","140"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_abz6.dzn","","29.34","raw","140"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb10.dzn","","23.01","raw","93"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb10.dzn","","23.18","raw","93"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_yn4.dzn","","260.279999","raw","35"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_yn4.dzn","","260.3","raw","35"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la13.dzn","","170.05","raw","50"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la13.dzn","","170.24","raw","50"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv06.dzn","","227.27","raw","192"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv06.dzn","","228.33","raw","192"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv03.dzn","","300.46","raw","281"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv03.dzn","","301.03","raw","281"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_ft10.dzn","","19.24","raw","0"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_ft10.dzn","","19.25","raw","0"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la34.dzn","","612.41","raw","17963"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la34.dzn","","612.53","raw","17963"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la06.dzn","","26.14","raw","67"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la06.dzn","","26.25","raw","67"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la20.dzn","","2.59","raw","16"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la20.dzn","","2.6","raw","16"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la24.dzn","","37.98","raw","58"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la24.dzn","","38.25","raw","58"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la33.dzn","","743.65","raw","7532"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la33.dzn","","747.33","raw","7532"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la11.dzn","","223.3","raw","165"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la11.dzn","","223.49","raw","165"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la11.dzn","","50.02","raw","165"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la11.dzn","","50.21","raw","165"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_abz7.dzn","","52.34","raw","32"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_abz7.dzn","","52.75","raw","32"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz8.dzn","","137.15","raw","3"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz8.dzn","","137.17","raw","3"
