"configuration","problem","model","data_file","status","time","flatBoolVars","run","bimanderTotalM","error","nSolutions","objective","method","flatIntVars","nClauseVariables","paths","solveTime","flatTime","evaluatedHalfReifiedConstraints","flatIntConstraints","processFlatZincTime","bimanderTotalOffset","flatBoolConstraints","bimanderTotalAbsoluteBalance","nVariables","bimanderCount","bimanderTotalN","eliminatedImplications","nClauses"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la23.dzn","OPTIMAL_SOLUTION","58.80642313900171","396940","raw","0","","2","71","minimize","21296","1792172","0","7.6662","41.7378","450","21295","2.2868","0","783906","0","272768","0","0","25001","672417"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz8.dzn","OPTIMAL_SOLUTION","69.21272622095421","494943","raw","0","","2","3","minimize","19080","1859162","0","12.2724","45.028","560","19079","2.7743","0","934122","0","354565","0","0","48932","806773"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb01.dzn","OPTIMAL_SOLUTION","32.00651371199638","259527","raw","0","","2","178","minimize","15280","960801","0","3.3353","23.0915","180","15279","1.4054","0","485336","0","186744","0","0","22214","421818"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la08.dzn","OPTIMAL_SOLUTION","33.609894944995176","184094","raw","0","","2","92","minimize","19924","2400221","0","13.561","14.7149","120","19923","2.6912","0","356186","0","184080","0","0","4539","813805"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la07.dzn","OPTIMAL_SOLUTION","28.922417667985428","218955","raw","0","","2","225","minimize","19710","1202134","0","3.2345","20.7285","300","19709","1.4086","0","456674","0","153004","0","0","3657","416860"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb08.dzn","OPTIMAL_SOLUTION","8.903062200988643","2745","raw","0","","2","0","minimize","266","195993","0","7.4426","1.17841","1160","265","0.1681","0","3199","0","50131","0","0","","80960"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_ft20.dzn","OPTIMAL_SOLUTION","118.71856754802866","370075","raw","0","","2","308","minimize","39542","4938861","0","80.3633","28.2517","160","39541","4.8268","0","723755","0","370065","0","0","7358","1667045"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv03.dzn","OPTIMAL_SOLUTION","138.30622666998534","907508","raw","0","","2","281","minimize","47217","4192896","0","40.751","77.3609","380","47216","6.4243","0","1999956","0","661824","0","0","49869","1752700"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb08.dzn","OPTIMAL_SOLUTION","26.648523273994215","213214","raw","0","","2","0","minimize","12802","792628","0","2.0207","19.8823","180","12801","1.1387","0","400643","0","153058","0","0","21332","347931"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","0.6480312970234081","4889","raw","0","","2","0","minimize","1133","16151","0","0.0331","0.498236","12","1132","0.0212","0","8309","0","3827","0","0","46","8116"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv01.dzn","SATISFIED","605.827577632037","8554","raw","0","","2","17109","minimize","610","872359","0","600.1793","4.35313","4320","609","0.9505","0","10620","0","217180","0","0","","357712"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la29.dzn","OPTIMAL_SOLUTION","67.52188085898524","8537","raw","0","","2","27","minimize","575","864353","0","61.7151","4.67013","4319","574","0.7893","0","10177","0","215756","0","0","","355044"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la24.dzn","OPTIMAL_SOLUTION","43.44554958696244","322643","raw","0","","2","58","minimize","18626","1194359","0","5.4436","30.611","270","18625","1.7701","0","603868","0","235784","0","0","28287","528275"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb09.dzn","OPTIMAL_SOLUTION","4.0811119669815525","2742","raw","0","","2","0","minimize","250","196120","0","2.5728","1.19764","1158","249","0.1936","0","3395","0","49971","0","0","","80789"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb07.dzn","OPTIMAL_SOLUTION","11.14972771902103","86904","raw","0","","2","102","minimize","5435","315632","0","0.647","8.58036","180","5434","0.4422","0","159983","0","63630","0","0","9130","140207"
