"configuration","problem","model","data_file","status","time","flatIntConstraints","solveTime","backjumps","run","optTime","flatTime","flatIntVars","bimanderTotalN","propagations","nodes","randomSeed","nClauseVariables","processFlatZincTime","trailMem","peakDepth","bimanderTotalOffset","paths","evaluatedHalfReifiedConstraints","baseMem","flatBoolVars","intVars","peakMem","solutions","failures","method","variables","nogoods","initTime","boolVariables","propagators","nVariables","bimanderTotalM","flatBoolConstraints","nClauses","restarts","nSolutions","bimanderTotalAbsoluteBalance","objective","bimanderCount"
"chuffed","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","286.05469000712037","2024","284.1","0","raw","284.1","0.910643","2690","","79337433","1633012","1637204459","","","1.41","709","","0","","0.0","","2144","0.0","","0","minimize","108424","0","0.039","106278","1352","","","","","2905","2905","","7741",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","19.508230816572905","96942","4.0","","raw","","13.1306","96943","0","","","","189025","0.5772","","","0","0","70","","51567","","","","","minimize","","","","","","63330","0","55860","128959","","2","0","7768","0"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","22.25401108432561","124778","0.8933","","raw","","17.7318","124779","0","","","","537162","0.7678","","","0","0","","","105343","","","","","minimize","","","","","","122140","0","187116","282701","","1","0","7765","0"
"gecode","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","250.9972967999056","1994","249.175","","raw","","0.82542","2680","","3862207","567647","","","","","717","","0","","","","","","2691","76009","minimize","5203","","0.019358","","1994","","","","","0","2691","","7733",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","24532.dzn","OPTIMAL_SOLUTION","19.380195375531912","101960","0.7937","","raw","","15.4498","101961","0","","","","456406","0.6488","","","0","0","","","86602","","","","","minimize","","","","","","103423","0","153919","238092","","1","0","7789","0"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","23.59852843824774","124778","4.8144","","raw","","16.0444","124779","0","","","","226720","0.4932","","","0","0","70","","65714","","","","","minimize","","","","","","77940","0","70464","158500","","2","0","7765","0"
"chuffed","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","264.8817735724151","1994","262.774999","0","raw","262.774","0.836592","2680","","59158960","1431971","1637204402","","","1.41","696","","0","","0.0","","2117","0.0","","0","minimize","173452","0","0.196","171333","1332","","","","","2694","2694","","7733",""
"chuffed-free","tablelayout","TableLayout.mzn","24532.dzn","OPTIMAL_SOLUTION","138.5429595084861","2084","136.438","0","raw","136.437","0.920916","2710","","19749865","644728","1637204671","","","1.41","462","","0","","0.0","","2202","0.0","","0","minimize","180719","0","0.212","178515","1392","","","","","1538","1538","","7789",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","19.268346366472542","1211","8.164","","raw","","10.4125","1212","0","","","","124080","0.1179","","","0","0","180","","3782","","","","","minimize","","","","","","15634","0","11065","36517","","8","0","7738","0"
"picat_sat","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","78.26111514493823","1994","77.29732840321958","","raw","","0.829221","2680","","","","","","0.13456574171864988","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7733",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","13.295333076268435","1211","0.7974","","raw","","11.8055","1212","0","","","","131426","0.1232","","","0","0","180","","3958","","","","","minimize","","","","","","16184","0","12066","38346","","2","0","7765","0"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","15.370005105622113","1101","4.1318","","raw","","10.5218","1102","0","","","","117983","0.1242","","","0","0","180","","3888","","","","","minimize","","","","","","15422","0","11680","36537","","2","0","7739","0"
"chuffed-free","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","288.2257144981995","2024","286.288","0","raw","286.287","0.906039","2690","","79337433","1633012","1637204449","","","1.41","709","","0","","0.0","","2144","0.0","","0","minimize","108424","0","0.036","106278","1352","","","","","2905","2905","","7741",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","15.190908005461097","1211","2.7323","","raw","","11.7857","1212","0","","","","131771","0.126099","","","0","0","180","","4034","","","","","minimize","","","","","","16187","0","12185","38355","","2","0","7735","0"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","24532.dzn","OPTIMAL_SOLUTION","18.18804081622511","1211","6.2838","","raw","","11.2286","1212","0","","","","126326","0.1248","","","0","0","180","","3858","","","","","minimize","","","","","","15600","0","11768","37039","","7","0","7789","0"
