"configuration","problem","model","data_file","status","time","run","objective"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","185.69","raw","8212"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","185.77","raw","8211"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","185.86","raw","8210"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","185.96","raw","8209"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.04","raw","8208"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.13","raw","8207"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.21","raw","8206"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.3","raw","8205"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.39","raw","8204"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.49","raw","8203"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.57","raw","8202"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.66","raw","8201"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.74","raw","8200"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.83","raw","8199"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","186.91","raw","8198"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.02","raw","8197"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.1","raw","8196"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.18","raw","8195"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.27","raw","8194"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.35","raw","8193"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.44","raw","8192"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.54","raw","8191"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.63","raw","8190"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.71","raw","8189"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.8","raw","8188"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.88","raw","8187"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","187.97","raw","8186"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.07","raw","8185"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.15","raw","8184"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.24","raw","8183"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.32","raw","8182"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.41","raw","8181"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.5","raw","8180"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.61","raw","8179"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.71","raw","8178"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.8","raw","8177"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","188.89","raw","8176"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.0","raw","8175"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.08","raw","8174"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.2","raw","8173"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.3","raw","8172"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.4","raw","8171"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.5","raw","8170"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.59","raw","8169"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.67","raw","8168"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.78","raw","8167"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.86","raw","8166"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","189.95","raw","8165"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.03","raw","8164"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.12","raw","8163"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.2","raw","8162"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.3","raw","8161"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.39","raw","8160"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.47","raw","8159"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.56","raw","8158"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.64","raw","8157"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.73","raw","8156"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.83","raw","8155"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","190.91","raw","8154"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.0","raw","8153"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.08","raw","8152"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.17","raw","8151"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.25","raw","8150"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.35","raw","8149"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.44","raw","8148"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.52","raw","8147"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.6","raw","8146"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.69","raw","8145"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.77","raw","8144"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.88","raw","8143"
