"configuration","problem","model","data_file","status","time","failures","nSolutions","peakDepth","restarts","paths","nogoods","randomSeed","evaluatedReifiedConstraints","trailMem","baseMem","backjumps","optTime","solutions","variables","run","method","flatIntConstraints","propagators","intVars","objective","peakMem","flatBoolConstraints","processFlatZincTime","flatIntVars","flatTime","flatBoolVars","solveTime","initTime","boolVariables","nodes","propagations"
"chuffed","jsswet","jsswet.mzn","jsswet_ft10.dzn","SATISFIED","600.0619104119833","","5307","","","0","","","","","","","","","","raw","minimize","131","","","58518","","","","131","0.055633","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb08.dzn","OPTIMAL_SOLUTION","101.8480478990241","","12","","","0","","","900","","","","","","","raw","minimize","1021","","","45","","450","0.2788759659990929","131","0.084603","900","101.484568933025","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la27.dzn","SATISFIED","600.0438458250137","8166993","517","131","0","0","","","","","","","","517","261","raw","minimize","251","248","","62555","","","","261","0.064139","","599.93","0.00191","","16339322","279252762"
"picat_sat","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","56.35764640296111","","12","","","0","","","450","","","","","","","raw","minimize","521","","","54","","225","0.2998189659990929","81","0.06366","450","55.994167436962016","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la31.dzn","SATISFIED","600.1818163899588","","167","","","0","","","","","","","","","","raw","minimize","371","","","210225","","","","391","0.084872","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la12.dzn","OPTIMAL_SOLUTION","162.13931875600247","","14","","","0","","","1900","","","","","","","raw","minimize","2041","","","46","","950","0.23898896599909292","161","0.12449","1900","161.77583979000337","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la09.dzn","SATISFIED","600.075919038034","","2997","","","0","","","","","","","","","","raw","minimize","111","","","93498","","","","121","0.055956","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_orb05.dzn","OPTIMAL_SOLUTION","70.80393939698115","499","1346","2462","1349","0","499","1630288924","","4.75","0.0","11932","70.386","","586769","raw","minimize","131","1053","132","229","0.0","","","131","0.055413","","70.39","0.11","586635","418871","17697670"
"gecode","jsswet","jsswet.mzn","jsswet_la09.dzn","SATISFIED","600.0384607019951","9225348","1417","77","0","0","","","","","","","","1417","121","raw","minimize","111","111","","21578","","","","121","0.052436","","599.942","0.001521","","18461756","670770993"
"picat_sat","jsswet","jsswet.mzn","jsswet_ft10.dzn","OPTIMAL_SOLUTION","150.62345463095699","","9","","","0","","","900","","","","","","","raw","minimize","1021","","","11638","","450","0.2779269659990929","131","0.085552","900","150.2599756649579","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la13.dzn","SATISFIED","600.0787618599716","","2352","","","0","","","","","","","","","","raw","minimize","146","","","141405","","","","161","0.058294","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la19.dzn","SATISFIED","600.0695944849867","","5757","","","0","","","","","","","","","","raw","minimize","131","","","58428","","","","131","0.055269","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la21.dzn","SATISFIED","600.0407246479881","6591680","544","99","0","0","","","","","","","","544","196","raw","minimize","191","187","","26939","","","","196","0.055816","","599.939","0.001495","","13189848","737984523"
"gecode","jsswet","jsswet.mzn","jsswet_orb06.dzn","SATISFIED","600.0405338800047","27859873","2380","87","0","0","","","","","","","","2380","131","raw","minimize","131","128","","9858","","","","131","0.052376","","599.943","0.00114","","55744354","753414945"
