"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","","606.3","raw","788"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_medium_5.dzn","","606.28","raw","521"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_medium_5.dzn","","606.42","raw","521"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","","178.53","raw","832"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","","178.54","raw","832"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_4.dzn","","605.08","raw","1165"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_4.dzn","","605.1","raw","1165"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","602.51","raw","352"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","602.54","raw","352"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","","100.23","raw","4850"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","","100.25","raw","4850"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","573.94","raw","771"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","573.94","raw","771"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_t_hard_5.dzn","","682.23","raw","3677"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_t_hard_5.dzn","","682.81","raw","3677"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_3.dzn","","53.89","raw","1618"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_3.dzn","","53.9","raw","1618"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_3.dzn","","1.75","raw","691"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_3.dzn","","1.75","raw","691"
