"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","nVariables","nClauseVariables","eliminatedImplications","method","bimanderCount","flatBoolConstraints","bimanderTotalM","processFlatZincTime","flatIntVars","bimanderTotalOffset","objective","run","flatBoolVars","nSolutions","solveTime","bimanderTotalN","bimanderTotalAbsoluteBalance","flatIntConstraints","flatTime","evaluatedHalfReifiedConstraints","nClauses"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_easy_4.dzn","OPTIMAL_SOLUTION","5.751678934087977","377","0","13811","84291","2","maximize","0","6471","0","0.9569","28","0","545","raw","948","1","4.1262","0","0","26","0.595735","","31431"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_medium_5.dzn","SATISFIED","601.7840915969573","179","0","10530","174226","","maximize","0","24856","0","0.1183","58","0","438","raw","3415","1","600.141","0","0","56","1.37053","293","39384"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_t_hard_1.dzn","UNKNOWN","619.5702084150398","796","0","139485","2807864","","maximize","0","322557","0","1.7748","192","0","","raw","40817","0","600.1403","0","0","190","15.6871","990","522225"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","1.7583852700190619","377","0","14008","85587","2","maximize","0","6471","0","0.9768","28","0","628","raw","948","1","0.0896","0","0","26","0.619421","","31927"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_3.dzn","OPTIMAL_SOLUTION","1.828573398059234","210","0","13674","77972","2","maximize","0","5932","0","1.016699","28","0","691","raw","612","2","0.1793","0","0","26","0.570409","","31040"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","SATISFIED","601.8628288441105","179","0","10649","185080","","maximize","0","26677","0","0.123","58","0","193","raw","3473","1","600.1271","0","0","56","1.43343","293","41356"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","SATISFIED","606.444561138982","870","0","78627","494314","2","maximize","0","50569","0","2.719","58","0","434","raw","2574","2","600.1313","0","0","56","3.37726","","193440"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_medium_4.dzn","SATISFIED","605.460477965069","1652","0","73034","525195","2","maximize","0","52986","0","2.6259","58","0","1101","raw","4129","2","600.1282","0","0","56","2.47687","","185029"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","4.52665942593012","377","0","14709","89034","2","maximize","0","6472","0","1.010699","28","0","445","raw","950","1","2.8623","0","0","26","0.589766","","33312"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","UNKNOWN","723.2943131310167","19502","0","3397495","19989588","2","maximize","0","1988765","0","58.4153","198","0","","raw","47916","0","600.2195","0","0","196","57.2952","","7220844"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_3.dzn","OPTIMAL_SOLUTION","3.642096483032219","210","0","17043","96371","2","maximize","0","5596","0","1.2609","28","0","691","raw","626","2","1.8418","0","0","26","0.465813","","38351"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_4.dzn","OPTIMAL_SOLUTION","1.1953643209999427","210","0","2787","31629","2","maximize","0","7403","0","0.0324","28","0","545","raw","558","2","0.6956","0","0","26","0.403001","28","12417"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_t_hard_1.dzn","SATISFIED","681.7076899830718","9900","0","3264785","17224937","2","maximize","0","1959657","0","19.2869","192","0","2981","raw","28684","2","600.9283","0","0","190","54.5261","","6854170"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","OPTIMAL_SOLUTION","178.77068068098743","870","0","10608","209706","2","maximize","0","58394","0","0.1823","58","0","832","raw","2086","2","176.215","0","0","56","2.15515","58","78333"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","SATISFIED","607.2600935560185","1652","0","432505","1721418","2","maximize","0","52998","0","3.3449","58","0","804","raw","4140","2","600.2016","0","0","56","3.33249","","703308"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_medium_3.dzn","SATISFIED","606.523862999049","1770","0","87956","555879","","maximize","0","49855","0","4.2944","58","0","112","raw","2652","2","600.1499","0","0","56","1.88287","","218056"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_medium_4.dzn","SATISFIED","605.6243769830326","870","0","84469","528261","2","maximize","0","49006","0","3.2523","58","0","1058","raw","2592","2","600.1318","0","0","56","2.03695","","206830"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","SATISFIED","601.7693587420508","179","0","10649","185017","","maximize","0","26661","0","0.1313","58","0","832","raw","3473","1","600.1293","0","0","56","1.35386","293","41340"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","SATISFIED","608.0625860349974","870","0","291784","1476204","2","maximize","0","49006","0","5.2285","58","0","252","raw","2599","2","600.1695","0","0","56","2.42987","","631598"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_t_hard_5.dzn","UNKNOWN","720.3777434079675","19499","0","3366684","19881821","2","maximize","0","1988716","0","57.2887","192","0","","raw","47869","0","600.2098","0","0","190","55.8741","","7174654"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","0.5388913979986683","74","0","2782","35555","","maximize","0","5607","0","0.0269","28","0","628","raw","941","1","0.0963","0","0","26","0.362355","114","9380"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","2.049954194924794","435","0","16661","96156","","maximize","0","5800","0","1.4128","28","0","628","raw","656","2","0.1204","0","0","26","0.449258","","38325"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_medium_3.dzn","SATISFIED","601.6797550909687","179","0","10530","174223","","maximize","0","24855","0","0.1101","58","0","409","raw","3415","1","600.1272","0","0","56","1.26636","293","39383"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_1.dzn","OPTIMAL_SOLUTION","144.57033142703585","870","0","10489","205978","2","maximize","0","56646","0","0.1797","58","0","1481","raw","2028","2","142.195","0","0","56","1.95326","58","76434"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","SATISFIED","607.0939124180004","870","0","434196","1663572","2","maximize","0","50569","0","3.1677","58","0","145","raw","2575","2","600.2035","0","0","56","3.3792","","701306"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_easy_3.dzn","OPTIMAL_SOLUTION","1.266569911967963","74","0","2782","35577","","maximize","0","5614","0","0.0269","28","0","691","raw","941","1","0.8318","0","0","26","0.357745","114","9387"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_t_hard_1.dzn","UNKNOWN","721.7086133169942","19499","0","3388680","19958817","2","maximize","0","1988749","0","57.1078","192","0","","raw","47890","0","600.2525","0","0","190","56.8954","","7207655"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_medium_5.dzn","SATISFIED","606.7869472090388","1770","0","635634","2380032","","maximize","0","49855","0","4.1787","58","0","188","raw","2657","2","600.2415","0","0","56","1.97515","","1007812"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_medium_4.dzn","SATISFIED","601.6965433669975","179","0","10530","174216","","maximize","0","24857","0","0.1231","58","0","1070","raw","3415","1","600.1377","0","0","56","1.27591","293","39385"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_3.dzn","OPTIMAL_SOLUTION","54.14095269399695","870","0","69626","451348","2","maximize","0","50558","0","2.3821","58","0","1618","raw","2563","2","49.1611","0","0","56","2.38393","","176003"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","6.074146953062154","435","0","16002","92364","","maximize","0","5800","0","1.9191","28","0","445","raw","658","2","3.645","0","0","26","0.447531","","36846"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_t_hard_5.dzn","OPTIMAL_SOLUTION","93.54576649900991","9900","0","129174","6550821","2","maximize","0","2020838","0","6.1549","192","0","4482","raw","21577","2","26.511","0","0","190","55.4247","198","2273684"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_easy_4.dzn","OPTIMAL_SOLUTION","2.4467654349282384","74","0","2782","35581","","maximize","0","5614","0","0.0256","28","0","545","raw","941","1","1.998","0","0","26","0.362327","114","9387"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_1.dzn","OPTIMAL_SOLUTION","6.988642274052836","870","0","70867","456510","2","maximize","0","50563","0","2.3108","58","0","1481","raw","2568","2","2.0669","0","0","56","2.40062","","178142"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","OPTIMAL_SOLUTION","105.46382872399408","9900","0","129174","6550824","2","maximize","0","2020836","0","6.3364","198","0","4850","raw","21580","2","38.6164","0","0","196","55.2845","198","2273685"
