"configuration","problem","model","data_file","status","time","nClauses","boolVariables","peakDepth","propagators","initTime","variables","bimanderTotalOffset","solveTime","run","error","optTime","flatTime","objective","nSolutions","bimanderCount","nogoods","failures","paths","peakMem","method","restarts","intVars","backjumps","bimanderTotalAbsoluteBalance","nClauseVariables","baseMem","nodes","flatBoolConstraints","trailMem","flatIntVars","nVariables","bimanderTotalM","flatBoolVars","bimanderTotalN","randomSeed","flatIntConstraints","evaluatedHalfReifiedConstraints","propagations","processFlatZincTime","solutions"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","5.257248225621879","18005","","","","","","0","3.1309","raw","","","1.78622","1246","2","0","","","0","","minimize","","","","0","20953","","","9157","","16972","8907","0","8764","0","","16971","10","","0.0596",""
"chuffed-free","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","OPTIMAL_SOLUTION","0.24397489242255688","","23969","85","172","0.027","24438","","0.046","raw","","0.043","0.087207","2158","5","","63","63","0","0.0","minimize","5","467","235","","","0.0","657","","0.28","358","","","","","1638167008","338","","9907","",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","SATISFIED","601.5348849650472","2689","","","","","","0","600.1253","raw","","","1.27239","2456","34","0","","","0","","minimize","","","","0","9228","","","1943","","610","928","0","796","0","","609","88","","0.0079",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","3.370013735257089","40326","","","","","","0","0.4728","raw","","","2.31406","1246","2","0","","","0","","minimize","","","","0","78859","","","31491","","16972","16473","0","16225","0","","16971","","","0.1345",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","OPTIMAL_SOLUTION","7.346042299643159","44982","","","","","","0","3.0172","raw","","","3.51792","5378","2","0","","","0","","minimize","","","","0","54640","","","25508","","39184","21655","0","21680","0","","39183","","","0.1314",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","OPTIMAL_SOLUTION","368.15358811430633","35930","","","","","","0","365.1877","raw","","","2.43396","3668","2","0","","","0","","minimize","","","","0","59146","","","24277","","21684","15912","0","15404","0","","21683","","","0.0929",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","OPTIMAL_SOLUTION","8.129895936697721","19680","","","","","","0","4.6042","raw","","","2.86157","9840","6","0","","","0","","minimize","","","","0","25084","","","10114","","17526","9656","0","9329","0","","17525","16","","0.063",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","SATISFIED","603.4789140298963","24634","","","","","","0","600.3293","raw","","","2.62196","10590","2","0","","","0","","minimize","","","","0","36079","","","15100","","17526","11585","0","11129","0","","17525","","","0.0676",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","OPTIMAL_SOLUTION","4.637340035289526","12706","","","","","","0","2.756","raw","","","1.57575","2456","28","0","","","0","","minimize","","","","0","16660","","","6714","","11140","6174","0","6042","0","","11139","12","","0.0384",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","31.257108700461686","42010","","","","","","0","27.7345","raw","","","2.67049","2971","2","0","","","0","","minimize","","","","0","64853","","","27213","","27980","18989","0","18483","0","","27979","","","0.1531",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","OPTIMAL_SOLUTION","385.2820300962776","23382","","","","","","0","382.7523","raw","","","2.1049","3668","2","0","","","0","","minimize","","","","0","27500","","","11736","","21684","11553","0","11192","0","","21683","14","","0.064699",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","SATISFIED","602.1979215554893","10157","","","","","","0","600.1667","raw","","","1.77046","4302","2","0","","","0","","minimize","","","","0","15103","","","5715","","8193","4774","0","4717","0","","8192","12","","0.0292",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","SATISFIED","602.1760047171265","2890","","","","","","0","600.1251","raw","","","1.91797","2769","14","0","","","0","","minimize","","","","0","11907","","","2323","","614","850","0","819","0","","613","78","","0.0084",""
"chuffed","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","OPTIMAL_SOLUTION","0.23445683624595404","","21599","174","340","0.028","22518","","0.032","raw","","0.028","0.11243","3102","2","","34","34","0","0.0","minimize","2","917","712","","","0.0","1094","","0.42","671","","","","","1638168118","674","","7312","",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","OPTIMAL_SOLUTION","6.076388006098568","39242","","","","","","0","2.8409","raw","","","2.67321","2700","10","0","","","0","","minimize","","","","0","70018","","","28804","","20436","16703","0","16567","0","","20435","","","0.1093",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","OPTIMAL_SOLUTION","6.538964511826634","23423","","","","","","0","3.9681","raw","","","2.13161","3150","2","0","","","0","","minimize","","","","0","27605","","","11736","","21684","11575","0","11192","0","","21683","14","","0.0665",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","OPTIMAL_SOLUTION","26.46958474162966","1631","","","","","","0","25.5358","raw","","","0.847496","841","2","0","","","0","","minimize","","","","0","6100","","","1103","","272","565","0","405","0","","271","40","","0.0046",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1261-line126.dzn","ERROR","","2661","","","","","","0","","raw","Unknown message kind ASCII `E'","","0.994228","","","0","","","0","","minimize","","","","0","9155","","","1360","","758","1125","0","699","0","","757","98","","0.0081",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","OPTIMAL_SOLUTION","2.626305939629674","22050","","","","","","0","0.8859","raw","","","1.4145","841","2","0","","","0","","minimize","","","","0","44654","","","17595","","8267","8915","0","8695","0","","8266","","","0.0578",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","OPTIMAL_SOLUTION","326.65568012278527","24634","","","","","","0","323.5175","raw","","","2.61155","9840","2","0","","","0","","minimize","","","","0","36079","","","15100","","17526","11585","0","11129","0","","17525","","","0.0797",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","21.279638569802046","64525","","","","","","0","14.699","raw","","","5.34688","2346","28","0","","","0","","minimize","","","","0","69488","","","32518","","62997","32112","0","31927","0","","62996","12","","0.1902",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","OPTIMAL_SOLUTION","9.655560988932848","64464","","","","","","0","3.2659","raw","","","5.20088","4196","3","0","","","0","","minimize","","","","0","69335","","","32518","","62997","32080","0","31927","0","","62996","12","","0.1846",""
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1407-line1986.dzn","OPTIMAL_SOLUTION","56.401104586198926","","","","","","","","56.195929950103164","raw","","","0.095073","2125","7","","","","0","","minimize","","","","","","","","","","356","","","","","","294","","","0.11010163609576225",""
"gecode","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","SATISFIED","1200.048788458109","","","99","222","0.002763","801","","1199.89","raw","","","0.103646","2993","5","","","39834966","0","","minimize","0","","","","","","79670136","","","406","","","","","","222","","9004157961","","5"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","SATISFIED","602.7129261521623","29087","","","","","","0","600.2042","raw","","","2.035569","3059","2","0","","","0","","minimize","","","","0","49268","","","19922","","16670","12803","0","12281","0","","16669","","","0.0895",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","149.17130001727492","18324","","","","","","0","146.768","raw","","","2.03187","1909","2","0","","","0","","minimize","","","","0","22181","","","9166","","16670","9037","0","8662","0","","16669","14","","0.059",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","OPTIMAL_SOLUTION","5.600135534070432","16722","","","","","","0","3.7531","raw","","","1.51459","2456","11","0","","","0","","minimize","","","","0","25527","","","10803","","11140","7691","0","7487","0","","11139","","","0.0575",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","OPTIMAL_SOLUTION","383.1147101242095","23382","","","","","","0","380.6317","raw","","","2.038749","3668","2","0","","","0","","minimize","","","","0","27500","","","11736","","21684","11553","0","11192","0","","21683","14","","0.063799",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1261-line126.dzn","SATISFIED","603.8668462894857","34014","","","","","","0","600.2266","raw","","","3.00175","4125","2","0","","","0","","minimize","","","","0","38311","","","16922","","32382","16916","0","16490","0","","32381","14","","0.0994",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","OPTIMAL_SOLUTION","3.1709526171907783","12706","","","","","","0","1.2993","raw","","","1.56488","2456","12","0","","","0","","minimize","","","","0","16660","","","6714","","11140","6174","0","6042","0","","11139","12","","0.0381",""
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","OPTIMAL_SOLUTION","36.58883271832019","","","","","","","","36.38365808222443","raw","","","0.128988","4196","7","","","","0","","minimize","","","","","","","","","","508","","","","","","374","","","0.07618663609576226",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1261-line126.dzn","SATISFIED","601.2274306062609","2661","","","","","","0","600.1351","raw","","","0.982238","5537","2","0","","","0","","minimize","","","","0","9155","","","1360","","758","1125","0","699","0","","757","98","","0.0071",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","3.8356025256216526","40326","","","","","","0","0.9554","raw","","","2.31974","1246","2","0","","","0","","minimize","","","","0","78859","","","31491","","16972","16473","0","16225","0","","16971","","","0.1358",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","SATISFIED","604.726147047244","51705","","","","","","0","600.3221","raw","","","3.56357","5743","2","0","","","0","","minimize","","","","0","89060","","","35774","","28872","22573","0","21707","0","","28871","","","0.1614",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","9.265585962682962","64525","","","","","","0","2.8437","raw","","","5.17668","2346","8","0","","","0","","minimize","","","","0","69488","","","32518","","62997","32112","0","31927","0","","62996","12","","0.2066",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","OPTIMAL_SOLUTION","6.388993755914271","20227","","","","","","0","3.9797","raw","","","2.0003","3102","2","0","","","0","","minimize","","","","0","26066","","","12049","","16518","9665","0","9722","0","","16517","","","0.0599",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","SATISFIED","604.1266755843535","31365","","","","","","0","600.2236","raw","","","3.10578","5743","2","0","","","0","","minimize","","","","0","37547","","","15638","","28872","15504","0","14917","0","","28871","18","","0.0926",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","SATISFIED","602.217650514096","4255","","","","","","0","600.023","raw","","","2.01865","4128","6","0","","","0","","minimize","","","","0","14672","","","2878","","974","1467","0","1140","0","","973","124","","0.0141",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","OPTIMAL_SOLUTION","4.5125485099852085","18365","","","","","","0","2.137","raw","","","2.0072","1409","13","0","","","0","","minimize","","","","0","22286","","","9166","","16670","9059","0","8662","0","","16669","14","","0.0557",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","OPTIMAL_SOLUTION","8.948281521908939","39242","","","","","","0","5.708","raw","","","2.67704","2700","22","0","","","0","","minimize","","","","0","70018","","","28804","","20436","16703","0","16567","0","","20435","","","0.1099",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","9.367522176355124","42010","","","","","","0","5.858","raw","","","2.71406","2971","15","0","","","0","","minimize","","","","0","64853","","","27213","","27980","18989","0","18483","0","","27979","","","0.1123",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","SATISFIED","603.9241518592462","31365","","","","","","0","600.2065","raw","","","2.96586","5618","2","0","","","0","","minimize","","","","0","37547","","","15638","","28872","15504","0","14917","0","","28871","18","","0.1037",""
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","OPTIMAL_SOLUTION","46.23621726594865","","","","","","","","46.03104262985289","raw","","","0.082823","1708","5","","","","0","","minimize","","","","","","","","","","358","","","","","","338","","","0.12235163609576226",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","6.64103920571506","24264","","","","","","0","3.6677","raw","","","2.46268","4502","2","0","","","0","","minimize","","","","0","27653","","","12546","","23318","11998","0","12020","0","","23317","8","","0.0763",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1986.dzn","ERROR","","2908","","","","","","0","","raw","Unknown message kind ASCII `E'","","1.97792","","","0","","","0","","minimize","","","","0","11954","","","2323","","614","860","0","819","0","","613","78","","0.0087",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","6.7649837443605065","29681","","","","","","0","3.6621","raw","","","2.54517","2971","13","0","","","0","","minimize","","","","0","33705","","","14844","","27980","14723","0","14339","0","","27979","14","","0.0846",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","4.820824216119945","29239","","","","","","0","1.7783","raw","","","2.49106","4502","2","0","","","0","","minimize","","","","0","38924","","","17607","","23318","13802","0","13786","0","","23317","","","0.0844",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","ERROR","","5468","","","","","","0","","raw","Unknown message kind ASCII `E'","","2.44358","","","0","","","0","","minimize","","","","0","14072","","","3359","","2438","2199","0","1872","0","","2437","364","","0.0185",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","OPTIMAL_SOLUTION","20.404477579519153","24634","","","","","","0","17.1804","raw","","","2.7216","9840","2","0","","","0","","minimize","","","","0","36079","","","15100","","17526","11585","0","11129","0","","17525","","","0.0663",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","14.024958593770862","105179","","","","","","0","5.784","raw","","","6.61988","2346","2","0","","","0","","minimize","","","","0","174926","","","73079","","62997","45868","0","45479","0","","62996","","","0.3038",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","OPTIMAL_SOLUTION","40.60419185832143","25633","","","","","","0","38.432","raw","","","1.7859","2158","2","0","","","0","","minimize","","","","0","40233","","","17230","","16689","11469","0","11415","0","","16688","","","0.0704",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","SATISFIED","601.2323008012027","2719","","","","","","0","600.1423","raw","","","0.96038","3013","2","0","","","0","","minimize","","","","0","9235","","","1529","","650","1076","0","692","0","","649","86","","0.0083",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","SATISFIED","601.6981952786446","3079","","","","","","0","600.1559","raw","","","1.3803","5422","2","0","","","0","","minimize","","","","0","8656","","","1988","","2114","1328","0","1370","0","","2113","270","","0.0096",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","SATISFIED","602.088212909177","3627","","","","","","0","600.1417","raw","","","1.78326","2654","2","0","","","0","","minimize","","","","0","12466","","","2932","","658","1027","0","970","0","","657","94","","0.0123",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","SATISFIED","601.2510163290426","2806","","","","","","0","600.1465","raw","","","0.958487","1657","2","0","","","0","","minimize","","","","0","8838","","","1760","","738","1099","0","841","0","","737","106","","0.0085",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","SATISFIED","603.0793173881248","29239","","","","","","0","600.2065","raw","","","2.36406","7777","2","0","","","0","","minimize","","","","0","38924","","","17607","","23318","13802","0","13786","0","","23317","","","0.0798",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","SATISFIED","601.3745868764818","2689","","","","","","0","600.0174","raw","","","1.21504","2548","5","0","","","0","","minimize","","","","0","9228","","","1943","","610","928","0","796","0","","609","88","","0.0075",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","OPTIMAL_SOLUTION","6.991946006193757","18365","","","","","","0","4.632","raw","","","2.00195","1409","2","0","","","0","","minimize","","","","0","22286","","","9166","","16670","9059","0","8662","0","","16669","14","","0.0532",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","34.81805694010109","29681","","","","","","0","31.5604","raw","","","2.67807","2971","2","0","","","0","","minimize","","","","0","33705","","","14844","","27980","14723","0","14339","0","","27979","14","","0.0884",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","40.70955059863627","64525","","","","","","0","34.3453","raw","","","5.20765","2346","2","0","","","0","","minimize","","","","0","69488","","","32518","","62997","32112","0","31927","0","","62996","12","","0.1892",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1261-line126.dzn","OPTIMAL_SOLUTION","9.17923597432673","34014","","","","","","0","5.5215","raw","","","2.9586","3500","2","0","","","0","","minimize","","","","0","38311","","","16922","","32382","16916","0","16490","0","","32381","14","","0.1021",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","OPTIMAL_SOLUTION","7.163426109589636","39836","","","","","","0","2.5757","raw","","","3.77055","5378","6","0","","","0","","minimize","","","","0","42518","","","20276","","39184","19797","0","19839","0","","39183","6","","0.1215",""
"gecode","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","SATISFIED","1200.0566404471174","","","228","450","0.005427","1514","","1199.87","raw","","","0.118178","4502","1","","","18294955","0","","minimize","0","","","","","","36590083","","","809","","","","","","450","","8561393009","","1"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","SATISFIED","603.6269485568628","19680","","","","","","0","600.3184","raw","","","2.77551","10840","2","0","","","0","","minimize","","","","0","25084","","","10114","","17526","9656","0","9329","0","","17525","16","","0.0668",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","SATISFIED","601.2241434389725","2719","","","","","","0","600.1332","raw","","","0.961994","5859","2","0","","","0","","minimize","","","","0","9235","","","1529","","650","1076","0","692","0","","649","86","","0.0082",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","SATISFIED","601.0969643713906","1680","","","","","","0","600.124","raw","","","0.874423","2893","2","0","","","0","","minimize","","","","0","6507","","","1127","","362","612","0","469","0","","361","50","","0.0047",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","3.2978221410885453","29239","","","","","","0","0.3569","raw","","","2.38247","4502","2","0","","","0","","minimize","","","","0","38924","","","17607","","23318","13802","0","13786","0","","23317","","","0.0927",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","SATISFIED","601.2401435356587","2848","","","","","","0","600.1406","raw","","","0.994733","3319","2","0","","","0","","minimize","","","","0","9645","","","1641","","686","1095","0","712","0","","685","90","","0.0077",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","ERROR","","2890","","","","","","0","","raw","Unknown message kind ASCII `E'","","1.88007","","","0","","","0","","minimize","","","","0","11907","","","2323","","614","850","0","819","0","","613","78","","0.0094",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","8.839473167434335","42010","","","","","","0","5.3068","raw","","","2.6694","2971","2","0","","","0","","minimize","","","","0","64853","","","27213","","27980","18989","0","18483","0","","27979","","","0.1522",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","230.93099876865745","1680","","","","","","0","229.9483","raw","","","0.911158","1246","31","0","","","0","","minimize","","","","0","6507","","","1127","","362","612","0","469","0","","361","50","","0.0044",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","OPTIMAL_SOLUTION","4.499614747241139","20227","","","","","","0","2.2433","raw","","","1.86305","3102","2","0","","","0","","minimize","","","","0","26066","","","12049","","16518","9665","0","9722","0","","16517","","","0.0604",""
"chuffed-free","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","OPTIMAL_SOLUTION","0.3259840030223131","","15150","118","360","0.022","16097","","0.04","raw","","0.039","0.105452","2602","13","","45","45","0","0.0","minimize","13","945","140","","","0.0","1173","","0.42","650","","","","","1638168568","714","","20014","",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","SATISFIED","602.9961524643004","4387","","","","","","0","600.1372","raw","","","2.64026","7549","2","0","","","0","","minimize","","","","0","14907","","","3448","","1554","1408","0","1470","0","","1553","204","","0.0134",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","OPTIMAL_SOLUTION","67.5757990013808","17787","","","","","","0","65.162899","raw","","","2.05344","2158","2","0","","","0","","minimize","","","","0","21209","","","9306","","16689","8685","0","8669","0","","16688","8","","0.0504",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","OPTIMAL_SOLUTION","99.03032385278493","48188","","","","","","0","93.2255","raw","","","4.87716","2988","2","0","","","0","","minimize","","","","0","52993","","","24863","","46579","23724","0","23802","0","","46578","8","","0.1594",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1407-line1350.dzn","SATISFIED","601.8010804103687","22051","","","","","","0","600.1649","raw","","","1.32284","2066","2","0","","","0","","minimize","","","","0","44655","","","17595","","8267","8915","0","8695","0","","8266","","","0.0664",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","3.8582258699461818","29087","","","","","","0","1.374","raw","","","2.02247","1909","9","0","","","0","","minimize","","","","0","49268","","","19922","","16670","12803","0","12281","0","","16669","","","0.0923",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","SATISFIED","601.419978347607","2247","","","","","","0","600.1356","raw","","","1.16671","2348","2","0","","","0","","minimize","","","","0","8245","","","1758","","668","693","0","677","0","","667","82","","0.0062",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","9.149920062161982","64525","","","","","","0","2.6962","raw","","","5.20805","2346","2","0","","","0","","minimize","","","","0","69488","","","32518","","62997","32112","0","31927","0","","62996","12","","0.2046",""
"picat_sat","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","OPTIMAL_SOLUTION","81.71838122140616","","","","","","","","81.5132065853104","raw","","","0.129788","3691","6","","","","0","","minimize","","","","","","","","","","873","","","","","","758","","","0.07538663609576227",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","OPTIMAL_SOLUTION","16.16272081900388","36031","","","","","","0","11.0489","raw","","","4.34333","6493","2","0","","","0","","minimize","","","","0","42202","","","18893","","34049","17607","0","17669","0","","34048","10","","0.1279",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","SATISFIED","603.1722569251433","35924","","","","","","0","600.2065","raw","","","2.3968","5505","2","0","","","0","","minimize","","","","0","59132","","","24277","","21684","15909","0","15404","0","","21683","","","0.1163",""
