"configuration","problem","model","data_file","status","time","nClauses","boolVariables","peakDepth","propagators","initTime","variables","bimanderTotalOffset","solveTime","run","error","optTime","flatTime","objective","nSolutions","bimanderCount","nogoods","failures","paths","peakMem","method","restarts","intVars","backjumps","bimanderTotalAbsoluteBalance","nClauseVariables","baseMem","nodes","flatBoolConstraints","trailMem","flatIntVars","nVariables","bimanderTotalM","flatBoolVars","bimanderTotalN","randomSeed","flatIntConstraints","evaluatedHalfReifiedConstraints","propagations","processFlatZincTime","solutions"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","OPTIMAL_SOLUTION","7.878304602578282","17853","","","","","","0","4.9892","raw","","","2.50386","3102","2","0","","","0","","minimize","","","","0","21655","","","9576","","16518","8658","0","8737","0","","16517","8","","0.0509",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","OPTIMAL_SOLUTION","7.655154557898641","19680","","","","","","0","4.4157","raw","","","2.76658","9840","11","0","","","0","","minimize","","","","0","25084","","","10114","","17526","9656","0","9329","0","","17525","16","","0.0609",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","SATISFIED","602.0884589580819","3627","","","","","","0","600.1405","raw","","","1.78511","2654","2","0","","","0","","minimize","","","","0","12466","","","2932","","658","1027","0","970","0","","657","94","","0.0121",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","SATISFIED","601.1303660189733","2807","","","","","","0","600.0216","raw","","","0.987165","3923","8","0","","","0","","minimize","","","","0","9540","","","1641","","686","1073","0","712","0","","685","90","","0.0091",""
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","OPTIMAL_SOLUTION","0.2730611180886626","","31758","74","134","0.037","32149","","0.038","raw","","0.035","0.108976","3150","4","","34","34","0","0.0","minimize","4","389","281","","","0.0","609","","0.19","442","","","","","1638165477","262","","5868","",""
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","OPTIMAL_SOLUTION","0.31002223677933216","","55088","109","210","0.058","55675","","0.043","raw","","0.04","0.108177","2988","5","","30","30","0","0.0","minimize","5","585","93","","","0.0","556","","0.63","496","","","","","1638163107","414","","8456","",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1407-line1350.dzn","OPTIMAL_SOLUTION","1.9496703343465924","9334","","","","","","0","0.5131","raw","","","1.23183","1041","9","0","","","0","","minimize","","","","0","12121","","","4834","","8267","4545","0","4395","0","","8266","10","","0.028",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","SATISFIED","602.4032638724893","25632","","","","","","0","600.179","raw","","","1.78993","3758","2","0","","","0","","minimize","","","","0","40232","","","17230","","16689","11469","0","11415","0","","16688","","","0.0758",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","4.178749448619783","24264","","","","","","0","1.1122","raw","","","2.54669","4502","2","0","","","0","","minimize","","","","0","27653","","","12546","","23318","11998","0","12020","0","","23317","8","","0.0765",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","OPTIMAL_SOLUTION","3.6423284905031323","20227","","","","","","0","1.3711","raw","","","1.8512","3102","7","0","","","0","","minimize","","","","0","26066","","","12049","","16518","9665","0","9722","0","","16517","","","0.0634",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","OPTIMAL_SOLUTION","6.417253211140633","12706","","","","","","0","4.4704","raw","","","1.64451","2456","10","0","","","0","","minimize","","","","0","16660","","","6714","","11140","6174","0","6042","0","","11139","12","","0.0385",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","OPTIMAL_SOLUTION","100.25602516159415","48188","","","","","","0","94.1684","raw","","","5.17096","2988","2","0","","","0","","minimize","","","","0","52993","","","24863","","46579","23724","0","23802","0","","46578","8","","0.1371",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","17.84236460365355","105179","","","","","","0","9.9972","raw","","","6.30159","2346","17","0","","","0","","minimize","","","","0","174926","","","73079","","62997","45868","0","45479","0","","62996","","","0.3148",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","ERROR","","1680","","","","","","0","","raw","Unknown message kind ASCII `E'","","0.876788","","","0","","","0","","minimize","","","","0","6507","","","1127","","362","612","0","469","0","","361","50","","0.0046",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","OPTIMAL_SOLUTION","15.393455737270415","39836","","","","","","0","11.0636","raw","","","3.53107","5378","2","0","","","0","","minimize","","","","0","42518","","","20276","","39184","19797","0","19839","0","","39183","6","","0.1142",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1986.dzn","OPTIMAL_SOLUTION","15.379544724710286","22100","","","","","","0","12.1052","raw","","","2.8383","2125","2","0","","","0","","minimize","","","","0","27542","","","11621","","20436","10754","0","10713","0","","20435","10","","0.067",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","SATISFIED","602.8305265465751","23382","","","","","","0","600.2106","raw","","","2.16617","4938","2","0","","","0","","minimize","","","","0","27500","","","11736","","21684","11553","0","11192","0","","21683","14","","0.068",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","OPTIMAL_SOLUTION","3.7772858180105686","29101","","","","","","0","1.184","raw","","","2.09073","1605","2","0","","","0","","minimize","","","","0","46279","","","19193","","18448","13081","0","12701","0","","18447","","","0.0828",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","23.029149316251278","105179","","","","","","0","14.8767","raw","","","6.52505","2346","2","0","","","0","","minimize","","","","0","174926","","","73079","","62997","45868","0","45479","0","","62996","","","0.3132",""
