"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","15.98","raw","2971"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","2.39","raw","4014"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","2.65","raw","4013"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","2.77","raw","3992"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","2.9","raw","3942"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.03","raw","3876"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.16","raw","3833"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.29","raw","3806"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.45","raw","3786"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.57","raw","3780"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.7","raw","3778"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.83","raw","3776"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","3.96","raw","3743"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","4.31","raw","3718"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","5.88","raw","3682"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","6.1","raw","3677"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","6.21","raw","3675"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","6.54","raw","3668"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","","8.22","raw","3668"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","602.78","raw","7549"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","602.81","raw","7549"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","","601.5","raw","8805"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","","601.53","raw","8805"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","7.26","raw","4571"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","8.18","raw","2496"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","8.74","raw","2427"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","9.16","raw","2391"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","9.43","raw","2346"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","9.67","raw","2346"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","1.74","raw","3106"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","1.87","raw","2631"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.009999","raw","2620"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.089999","raw","2597"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.18","raw","2595"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.27","raw","2573"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.35","raw","2547"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.43","raw","2538"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.53","raw","2498"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.6","raw","2473"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.69","raw","2469"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","2.76","raw","2456"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","","3.53","raw","2456"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","","11.33","raw","5378"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","","11.37","raw","5378"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","","5.49","raw","3150"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","","5.52","raw","3150"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","5.09","raw","13521"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","5.68","raw","12340"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","8.359999","raw","5210"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","10.66","raw","2816"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","16.0","raw","2467"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","17.96","raw","2352"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","31.13","raw","2347"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","33.479999","raw","2346"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","","603.15","raw","2875"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","","603.22","raw","2875"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.6","raw","9191"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.62","raw","4992"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.66","raw","4611"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.71","raw","4603"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.75","raw","4475"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.77","raw","4443"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.8","raw","4317"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","1.84","raw","4309"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","2.02","raw","4277"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","2.13","raw","4260"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","4.09","raw","4259"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","4.13","raw","4257"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","4.179999","raw","4254"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","4.23","raw","4250"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","","4.28","raw","4246"
