"configuration","problem","model","data_file","status","time","run","objective"
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","24.25","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","184.16","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","7.69","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","72.15","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","58.04","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","58.11","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","712.43","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","712.56","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","17.18","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","17.21","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
