"configuration","problem","model","data_file","status","time","nClauseVariables","error","bimanderTotalOffset","bimanderTotalN","bimanderCount","paths","method","flatBoolConstraints","nVariables","flatBoolVars","evaluatedReifiedConstraints","run","bimanderTotalM","solveTime","bimanderTotalAbsoluteBalance","flatTime","nSolutions","processFlatZincTime","nClauses"
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","SATISFIED","455.6190478850622","3654001","","0","0","0","0","satisfy","856821","103563","66434","18578","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","413.398","0","35.2838","1","3.3484","1309205"
"mzn-sat-glucose-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","UNKNOWN","1200.7036165168975","288530","","0","0","0","0","satisfy","48954","5400","7116","1351","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1195.4042","0","4.71085","0","0.154","44873"
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","SATISFIED","206.7108967481181","2926790","","0","0","0","0","satisfy","1046416","66878","66181","18578","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","147.0619","0","51.4306","2","3.3383","1043269"
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","SATISFIED","9.511962595861405","387398","","0","0","0","0","satisfy","141256","10322","10165","4640","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1.0808","0","7.2877","2","0.4061","139789"
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=22;m=22;holes={}","UNKNOWN","1201.361701718066","","","","","","0","satisfy","3246177","","236150","47204","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","131.615","","",""
"mzn-sat-glucose-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","SATISFIED","3.359534664079547","142022","","0","0","0","0","satisfy","52816","4222","4165","2362","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","0.0634","0","2.8223","2","0.2165","51781"
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","SATISFIED","24.889150283066556","858438","","0","0","0","0","satisfy","309904","21326","21029","7974","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","7.3808","0","15.203","2","0.8762","307941"
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=22;m=22;holes={}","ERROR","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","","","",""
"mzn-sat-glucose-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","UNKNOWN","1201.1921878629364","","","","","","0","satisfy","1063735","","82088","89195","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","55.7429","","",""
"mzn-sat-lingeling-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","UNKNOWN","1200.8138336308766","288530","","0","0","0","0","satisfy","48954","5400","7116","1351","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1195.2549","0","4.85829","0","0.1587","44873"
