"configuration","problem","model","data_file","status","time","run","objective"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","8.77","raw","518"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","8.78","raw","545"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","","0.09","raw","395"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","","0.14","raw","445"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.07","raw","179"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.08","raw","433"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.08","raw","453"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.08","raw","500"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.11","raw","558"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.11","raw","575"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.11","raw","623"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","0.12","raw","766"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","1.56","raw","798"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","2.5","raw","822"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","2.58","raw","851"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","2.72","raw","859"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","2.87","raw","875"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","2.88","raw","877"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","3.03","raw","920"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","3.07","raw","937"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","3.14","raw","943"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","3.2","raw","1006"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","33.72","raw","1023"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","49.7","raw","1055"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","53.85","raw","1062"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","0.28","raw","300"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","0.39","raw","336"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","0.81","raw","479"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","0.89","raw","492"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","2.83","raw","501"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","2.85","raw","503"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","3.68","raw","525"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","3.72","raw","559"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","13.79","raw","564"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","14.09","raw","565"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","14.72","raw","567"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","14.75","raw","582"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","17.13","raw","594"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","17.81","raw","616"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","18.06","raw","633"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","28.31","raw","648"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","33.229999","raw","657"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","33.29","raw","681"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","33.29","raw","717"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","36.59","raw","737"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","38.18","raw","756"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","43.54","raw","799"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","","47.05","raw","832"
"chuffed","orienteering","orienteering-control.mzn","orienteering_t_hard_5.dzn","","50.02","raw","229"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","0.07","raw","294"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","0.08","raw","370"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","0.08","raw","434"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","0.08","raw","499"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","0.11","raw","564"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","0.19","raw","594"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","0.86","raw","633"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.31","raw","653"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.32","raw","655"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.33","raw","658"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.47","raw","673"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.5","raw","702"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.51","raw","705"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.72","raw","709"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","1.73","raw","719"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","2.06","raw","724"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","2.069999","raw","730"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","2.08","raw","782"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","2.16","raw","840"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","","3.48","raw","851"
